Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10
0,0,0,0,0,0,0,0,0,0
0,157680,0,0,52560,0,4020840,0,0,0
0,0,33033960,0,0,0,8225640,4152240,3022200,4493880
0,0,1760760,0,0,14480280,36923400,5650200,683280,3994560
52560,0,0,6937920,0,5308560,3468960,3206160,0,735840
0,4099680,0,2049840,131400,2733120,2943360,2233800,1287720,420480
0,604440,0,1419120,0,2917080,2496600,1918440,1130040,4651560
0,0,0,183960,0,1734480,1708200,1235160,0,210240
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
